Facility Name,Sports,Latitude,Longitude,Activity Type,activities
Clementi Stadium,Stadium,1.310547364,103.7628314,Outdoor,Running/Jogging/Walking/Soccer
Clementi Sports Centre,Swimming Complex/Sports Hall/Gym,1.311377295,103.7643842,Indoor,Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Jurong West Sports Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,1.338939791,103.6937026,Indoor,Running/Jogging/Walking/Soccer/Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Kallang Basin Swimming Complex,Swimming Complex,1.323251958,103.872253,Outdoor,Swimming
Kallang Sports Centre,Practice Track/Field/Tennis Centre/Squash Centre/Netball Centre/Lawn Bowl,1.306804108,103.8773572,Indoor,Running/Jogging/Walking/Tennis/Squash/Netball/Lawn Bowl
Katong Swimming Complex,Swimming Complex,1.302234756,103.8859173,Outdoor,Swimming
AMK Swimming Complex,Swimming Complex,1.362405911,103.8500444,Outdoor,Swimming
Bishan Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym,1.355497958,103.8518653,Indoor,Running/Jogging/Walking/Soccer/Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Bukit Batok Swimming Complex,Swimming Complex,1.344974217,103.747781,Outdoor,Swimming
Farrer Park Field and Tennis Centre,Field/Tennis Centre,1.309579958,103.8503389,Outdoor,Running/Jogging/Walking/Tennis
Jalan Besar Sports Centre,Swimming Complex/Stadium,1.310689589,103.859669,Outdoor,Running/Jogging/Walking/Soccer/Swimming
Jurong East Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym/Gateball & Petanque Courts,1.345864148,103.7291389,Indoor,Running/Jogging/Walking/Soccer/Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Heartbeat@Bedok,Swimming Complex/Sports Hall/Tennis Centre/Gym,1.327224997,103.9311473,Indoor,Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Hougang Sports Centre,Swimming Complex/Sports Hall/Stadium/Gym,1.369844379,103.8861863,Indoor,Running/Jogging/Walking/Soccer/Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Bukit Gombak Sports Centre,Sports Hall/Stadium/Gym,1.359687303,103.7518826,Indoor,Running/Jogging/Walking/Soccer/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Bedok Stadium,Stadium,1.326643536,103.9363512,Outdoor,Running/Jogging/Walking/Soccer
Burghley Squash and Tennis Centre,Squash Centre/Tennis Centre,1.359259324,103.8609261,Indoor,Squash/Tennis
Choa Chu Kang Sports Centre,Swimming Complex/Sports Hall/Stadium/Futsal Court/Tennis Centre/Gym,1.390356158,103.7474516,Indoor,Running/Jogging/Walking/Soccer/Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Jurong Stadium,Stadium,1.334080806,103.7185122,Outdoor,Running/Jogging/Walking/Soccer
Our Tampines Hub - Community Auditorium,Swimming Complex/Sports Hall/Gym,1.354367367,103.9407723,Indoor,Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Pasir Ris Sports Centre,Swimming Complex/Sports Hall/Stadium/Tennis Centre/Gym,1.374485123,103.9524245,Indoor,Running/Jogging/Walking/Soccer/Swimming/Badminton/Basketball/Tennis/Table Tennis/Volleyball/Pickleball/Gym
Queenstown Sports Centre,Swimming Complex/Stadium,1.297031184,103.8021979,Outdoor,Running/Jogging/Walking/Soccer/Swimming
